highway,surface,hard_surface,compacted
tertiary,asphalt,1,0
secondary,asphalt,1,0
primary,asphalt,1,0
cycleway,paving_stones,1,0
residential,asphalt,1,0
footway,paving_stones,1,0
footway,fine_gravel,0,1
footway,wood,0,0
footway,NA,0,1
pedestrian,paving_stones,1,0
unclassified,unhewn_cobblestone,1,0
service,asphalt,1,0
trunk,asphalt,1,0
trunk,NA,1,0
motorway_link,asphalt,1,0
unclassified,asphalt,1,0
trunk_link,asphalt,1,0
pedestrian,sett,1,0
footway,asphalt,1,0
secondary,NA,1,0
cycleway,NA,1,0
track,gravel,0,1
cycleway,compacted,0,1
residential,paved,1,0
track,NA,NA,NA
cycleway,asphalt,1,0
track,compacted,0,1
path,NA,NA,NA
footway,compacted,0,1
path,sand,0,0
track,fine_gravel,0,1
primary_link,asphalt,1,0
living_street,paving_stones,1,0
service,paving_stones,1,0
track,asphalt,1,0
unclassified,NA,1,0
residential,sett,1,0
service,sett,1,0
residential,unhewn_cobblestone,1,0
footway,sett,1,0
residential,NA,1,0
path,paving_stones,1,0
service,NA,1,0
motorway,asphalt,1,0
primary,NA,1,0
living_street,asphalt,1,0
residential,paving_stones,1,0
path,asphalt,1,0
living_street,sett,1,0
pedestrian,concrete,1,0
tertiary,NA,1,0
motorway_link,NA,1,0
track,sand,0,0
tertiary,sett,1,0
pedestrian,asphalt,1,0
living_street,NA,1,0
steps,concrete,1,0
footway,gravel,0,1
footway,unpaved,0,1
construction,asphalt,1,0
steps,paving_stones,1,0
unclassified,paving_stones,1,0
service,unpaved,0,1
service,compacted,0,1
service,gravel,0,1
path,gravel,0,1
path,unpaved,0,1
pedestrian,NA,1,0
track,unpaved,0,1
tertiary,paving_stones,1,0
path,paved,1,0
service,concrete,1,0
path,pebblestone,0,0
unclassified,sett,1,0
steps,paved,1,0
path,compacted,0,1
unclassified,cobblestone,1,0
footway,paved,1,0
path,earth,0,1
footway,ground,0,1
primary_link,NA,1,0
busway,NA,1,0
cycleway,paved,1,0
track,concrete,1,0
trunk_link,paving_stones,1,0
residential,gravel,0,1
service,paved,1,0
pedestrian,paved,1,0
trunk_link,NA,1,0
path,sett,1,0
track,ground,0,1
path,grass,0,0
track,dirt,0,1
primary,concrete,1,0
path,dirt,0,1
pedestrian,cobblestone,1,0
unclassified,gravel,0,1
track,grass,0,0
unclassified,paved,1,0
pedestrian,wood,0,0
footway,pebblestone,0,0
track,pebblestone,0,0
service,pebblestone,0,0
cycleway,fine_gravel,0,1
residential,concrete,1,0
secondary,paved,1,0
living_street,paved,1,0
tertiary,paved,1,0
busway,asphalt,1,0
unclassified,concrete,1,0
service,dirt,0,1
residential,cobblestone,1,0
track,earth,0,1
path,concrete,1,0
steps,unpaved,0,1
path,fine_gravel,0,1
footway,unhewn_cobblestone,1,0
secondary_link,asphalt,1,0
cycleway,concrete,1,0
footway,concrete,1,0
steps,sett,1,0
footway,tar,1,0
footway,earth,0,1
path,metal,1,0
track,paved,1,0
bridleway,ground,0,1
footway,metal,1,0
steps,asphalt,1,0
footway,dirt,0,1
steps,dirt,0,1
raceway,NA,1,0
pedestrian,cobblestone:flattened,1,0
service,grass,0,0
footway,concrete:plates,1,0
cycleway,wood,0,0
footway,grass,0,0
bridleway,NA,0,1
path,ground,0,1
path,wood,0,0
steps,compacted,0,1
track,paving_stones,1,0
service,grass_paver,0,0
track,wood,0,0
bridleway,dirt,0,1
track,sett,1,0
construction,NA,0,1
bridleway,gravel,0,1
bridleway,compacted,0,1
steps,concrete:plates,1,0
service,fine_gravel,0,1
corridor,paving_stones,1,0
residential,compacted,0,1
steps,wood,0,0
path,rock,1,0
service,concrete:lanes,1,0
path,woodchips,0,0
steps,pebblestone,0,0
bridleway,grass,0,0
steps,rock,1,0
service,cobblestone,1,0
footway,cobblestone,1,0
tertiary_link,asphalt,1,0
track,concrete:plates,1,0
tertiary,cobblestone,1,0
path,mud,0,1
steps,metal,1,0
service,ground,0,1
service,metal,1,0
service,concrete:plates,1,0
path,unhewn_cobblestone,1,0
tertiary,concrete,1,0
bridleway,sand,0,0
living_street,cobblestone,1,0
motorway,NA,1,0
footway,grass_paver,0,0
residential,cobblestone:flattened,1,0
construction,compacted,0,1
secondary,paving_stones,1,0
unclassified,compacted,0,1
corridor,paved,1,0
steps,grass_paver,0,0
steps,stone,1,0
steps,ground,0,1
track,rock,1,0
steps,grass,0,0
construction,grass,0,0
path,concrete:plates,1,0
path,grass_paver,0,0
unclassified,pebblestone,0,0
track,grass_paver,0,0
steps,fine_gravel,0,1
steps,gravel,0,1
track,mud,0,1
footway,sand,0,0
footway,woodchips,0,0
living_street,compacted,0,1
cycleway,gravel,0,1
cycleway,pebblestone,0,0
bridleway,unpaved,0,1
service,unhewn_cobblestone,1,0
tertiary_link,NA,1,0
cycleway,cobblestone,1,0
cycleway,sett,1,0
secondary_link,NA,1,0
corridor,NA,1,0
unclassified,concrete:plates,1,0
residential,dirt,0,1
track,cobblestone,1,0
cycleway,metal,1,0
service,sand,0,0
footway,mud,0,1
path,stepping_stones,0,0
footway,rubber,0,1
platform,NA,1,0
unclassified,unpaved,0,1
track,clay,0,1
steps,metal_grid,0,0
steps,earth,0,1
path,steel,1,0
footway,clay,0,1
steps,cobblestone,1,0
path,cobblestone,1,0
cycleway,ground,0,1
steps,sand,0,0
construction,paving_stones,1,0
footway,rock,1,0
steps,woodchips,0,0
footway,metal_grid,0,0
path,concrete:lanes,1,0
pedestrian,compacted,0,1
residential,unpaved,0,1
track,concrete:lanes,1,0
construction,wood,0,0
construction,sand,0,0
busway,concrete,1,0
living_street,unpaved,0,1
path,clay,0,1
pedestrian,fine_gravel,0,1
platform,paving_stones,1,0
residential,fine_gravel,0,1
footway,stepping_stones,0,0
track,metal,1,0
unclassified,grass_paver,0,0
unclassified,wood,0,0
residential,pebblestone,0,0
footway,chipseal,0,1
footway,stone,1,0
steps,unhewn_cobblestone,1,0
proposed,compacted,0,1
residential,concrete:plates,1,0
track,unhewn_cobblestone,1,0
construction,concrete,1,0
